Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C2, C27, C7, C8, C9",1206,6,2.2u/50V,C50254
"C11, C26",1206,2,10u,C694197
"C12, C31",0603,2,10u/25V,C96446
"C13, C21, C22, C24, C25, C28, C3, C5, C6",0603,9,100n,C14663
"C14, C16",0805,2,1u/50V,C28323
C19,1206,1,2.2u,C50254
C20,0805,1,100n,C49678
C23,0603,1,2.2u,C50254
"C32, C4",0402,2,1u,C52923
"D1, D5, D9",D_SOD-123F,3,SSA34,C84632
"IC1, IC7",TPSM365R3RDNR,2,TPSM365R15RDNR,C22427405
"IC2, IC3, IC4, IC5",SON65P300X300X100-9N-D,4,THVD1450DRBR,C1850226
"IC6, IC8",UQFN-20-1EP_4x4mm_P0.5mm_EP2.8x2.8mm_ThermalVias,2,MAX17613AATP+,C3198161
R1,0402,1,100k,C25741
R11,1206,1,150,C17917
"R12, R14, R18, R19",0603,4,220k,C22961
"R13, R20, R27, R28",0603,4,9.1k,C23260
R2,0402,1,9.1k,C25926
"R21, R23, R36, R38, R43, R45",0603,6,470k,C23178
"R22, R37",0603,2,42.2k,C23167
"R24, R39",0603,2,82k,C23254
"R25, R40",0603,2,150k,C22807
"R26, R41",0603,2,2.2k,C4190
"R29, R46, R47, R49, R50, R72, R80, R81, R91",0603,9,3.3k,C22978
"R4, R82, R88, R9, R90",0603,5,10k,C25804
R42,2010,1,0.05,C912938
"R51, R52, R53",0603,3,4.7k,C23162
"R56, R57, R60, R61, R62, R63",1206,6,390,C25378
"R58, R59, R64, R65, R66, R67, R76, R77",1206,8,22,C17958
"R7, R8",0603,2,1k,C21190
R71,0603,1,33k,C4216
"R83, R89",0603,2,22k,C31850
"R84, R85",0402,2,100,C25076
R87,0402,1,10k,C25744
"RN1, RN2",R_Array_Concave_4x0603,2,4.7k,C1980
U1,QFN-48-1EP_6x6mm_P0.4mm_EP4.2x4.2mm,1,AVR64DA48,C3227406
"U3, U4",SOT-353_SC-70-5,2,74AHC1G02,C554271
U7,SOT-23-6,1,INA181A1,C2058943
U9,QFN-48-1EP_6x6mm_P0.4mm_EP4.2x4.2mm,1,ATmega4809-A,
X1,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1,ASE-24MHz,
