Designator,Mid X,Mid Y,Rotation,Layer
C.0,190.38316,15.85976,180.0,top
C1,170.57814,12.08532,180.0,top
C10,187.125,51.225,270.0,top
C11,187.075,44.15,90.0,bottom
C12,178.45,49.75,270.0,top
C13,157.43,61.43,270.0,top
C14,188.5,31.89,0.0,top
C15,179.40464,19.68754,180.0,top
C16,178.54,31.91,0.0,top
C17,153.00388,12.08532,180.0,top
C18,161.90658,19.61134,180.0,top
C19,186.04,68.09,180.0,bottom
C2,152.39,38.45,0.0,top
C20,77.04,45.11,180.0,top
C21,70.55,41.73,180.0,top
C22,184.76,48.46,0.0,bottom
C23,181.35,51.425,0.0,bottom
C24,71.62,51.22,270.0,top
C25,170.445,65.06,180.0,top
C26,187.075,44.15,90.0,top
C27,178.05,43.575,270.0,top
C28,138.17,55.68,270.0,top
C3,152.02,62.07,90.0,top
C31,178.45,52.775,90.0,top
C32,180.1,47.625,0.0,top
C4,184.875,47.85,0.0,top
C5,154.77,50.255,90.0,top
C6,163.23,54.49,180.0,top
C7,177.76,66.98,90.0,top
C8,177.78,62.37,90.0,top
C9,177.78,57.775,90.0,top
D1,192.41516,31.81096,270.0,top
D10,68.66,51.21,90.0,top
D11,67.19,51.2,90.0,top
D12,53.4175,36.97,0.0,top
D13,53.42,38.44,0.0,top
D14,197.05,31.77,90.0,top
D15,53.43,51.71,0.0,top
D16,53.43,50.24,0.0,top
D17,53.43,48.78,0.0,top
D18,53.43,47.32,0.0,top
D19,53.43,45.84,0.0,top
D2,53.4175,35.51,0.0,top
D20,53.43,44.37,0.0,top
D21,53.43,42.9,0.0,top
D22,53.43,41.44,0.0,top
D25,190.3,44.075,270.0,top
D26,190.3,51.2,270.0,top
D3,153.27,50.28,270.0,top
D5,168.85412,31.5468,90.0,top
D6,172.31,37.32,90.0,top
D8,182.2,37.37,90.0,top
D9,194.97,31.8,90.0,top
IC1,182.68,44.2,90.0,top
IC2,174.505,62.345,0.0,top
IC3,152.405,41.73,270.0,top
IC4,174.48,66.98,0.0,top
IC5,174.51,57.78,0.0,top
IC6,184.09412,33.1978,180.0,top
IC7,182.47,51.263,270.0,top
IC8,174.2,33.19,180.0,top
J1,55.42,15.21,180.0,top
J2,88.14,63.365,90.0,top
J21,68.335,67.23,270.0,top
J22,198.09,45.105,90.0,top
J23,198.08,62.205,90.0,top
J3,98.9,30.04,270.0,top
J4,68.29,58.94,270.0,top
J5,164.08,63.475,90.0,top
J6,206.0448,11.83132,270.0,top
J7,119.12,58.93,270.0,top
J8,205.67396,31.3417,90.0,top
JP2,60.96762,0.70866,270.0,top
R1,178.225,46.35,0.0,top
R11,152.406,31.6,180.0,top
R12,170.76,34.34,90.0,top
R13,170.76,37.31,90.0,top
R14,190.55,37.38,270.0,top
R18,188.275,39.66,180.0,top
R19,180.64,34.4,90.0,top
R2,178.225,47.3,0.0,top
R20,180.64,37.37,90.0,top
R21,187.54,34.36,90.0,top
R22,187.55,37.37,90.0,top
R23,189.04,34.36,90.0,top
R24,189.04,37.38,90.0,top
R25,185.99,37.39,90.0,top
R26,184.48,37.41,90.0,top
R27,185.23,39.66,180.0,top
R28,190.53,34.36,270.0,top
R29,151.79,50.29,90.0,top
R36,177.6,34.37,90.0,top
R37,177.58,37.38,90.0,top
R38,179.1,34.37,90.0,top
R39,179.11,37.37,90.0,top
R4,146.175,60.375,90.0,top
R40,176.07,37.37,90.0,top
R41,174.55,37.37,90.0,top
R42,187.9,51.275,270.0,bottom
R43,72.26,26.22,270.0,top
R45,73.42,61.78,0.0,top
R46,68.69,54.19,90.0,top
R47,172.3,37.32,270.0,bottom
R49,182.2,37.37,270.0,bottom
R50,67.2,54.19,90.0,top
R51,63.63,61.82,0.0,top
R52,67.86,61.84,180.0,top
R53,61.3,33.11,0.0,top
R56,186.93,57.79,90.0,top
R57,184.65,57.7875,270.0,top
R58,181.22,58.95,180.0,top
R59,181.22,56.66,180.0,top
R60,186.92,62.3525,90.0,top
R61,184.65,62.36,270.0,top
R62,186.91,66.94,90.0,top
R63,184.64,66.93,270.0,top
R64,181.21,63.54,180.0,top
R65,181.21,61.25,180.0,top
R66,181.2,68.08,180.0,top
R67,181.2,65.81,180.0,top
R7,155.43022,31.97352,270.0,top
R71,139.67,55.67,270.0,top
R72,58.45,35.44,0.0,top
R76,153.54,35.01,270.0,top
R77,151.24,35.01,270.0,top
R8,149.38756,31.9659,270.0,top
R80,58.46,36.93,0.0,top
R81,58.46,38.43,180.0,top
R82,181.35,48.475,0.0,bottom
R83,181.35,49.95,180.0,bottom
R84,174.51,60.06,180.0,top
R85,174.5,64.65,180.0,top
R87,173.86,40.03,0.0,top
R88,166.5,54.49,180.0,top
R89,196.28,34.89,180.0,top
R9,77.6732,26.2128,90.0,top
R90,190.3,44.075,90.0,bottom
R91,190.3,51.2,90.0,bottom
RN1,58.72,49.49,90.0,top
RN2,58.71,43.65,90.0,top
U1,157.12,55.75,90.0,top
U3,170.58,67.36,180.0,top
U4,170.58,62.74,180.0,top
U7,184.6,51.2425,90.0,bottom
U9,71.56,46.1,90.0,top
X1,154.57,62.04,270.0,top
